,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,date
1569,1570,B,Ship,5,1,129,5,medium,M,35,1458,1,2017-09-27
1570,1571,C,Ship,3,3,201,4,medium,M,7,2299,1,2017-01-31
1571,1572,F,Ship,5,2,151,4,low,M,12,1145,1,2017-11-03
1572,1573,D,Ship,2,1,252,3,low,F,12,2800,1,2017-12-23
1573,1574,F,Ship,5,3,156,3,medium,M,58,1218,1,2017-05-30
1574,1575,A,Ship,6,3,215,5,low,M,13,3899,1,2017-03-13
1575,1576,B,Ship,4,4,153,3,low,M,13,1402,1,2017-01-04
1576,1577,C,Ship,5,1,261,3,low,M,25,3494,1,2017-06-01
1577,1578,F,Ship,5,4,263,3,medium,M,61,2606,1,2017-09-26
1578,1579,D,Ship,5,4,153,6,medium,M,35,1082,1,2017-07-25
1579,1580,F,Ship,3,5,137,3,high,F,28,1815,1,2017-09-04
1580,1581,A,Ship,3,5,270,5,low,M,31,3737,1,2017-01-08
1581,1582,B,Ship,5,1,167,2,low,M,62,1884,1,2017-11-05
1582,1583,C,Ship,3,3,143,3,low,M,64,1630,1,2017-01-31
1583,1584,F,Ship,5,5,214,3,low,F,31,2033,1,2017-09-22
1584,1585,D,Ship,2,2,182,2,medium,F,14,3751,1,2017-04-14
1585,1586,F,Ship,3,5,234,2,high,M,4,2701,1,2017-12-19
1586,1587,A,Ship,4,5,181,2,medium,M,59,2239,1,2017-03-26
1587,1588,B,Ship,2,4,162,3,low,F,34,1558,1,2017-03-15
1588,1589,C,Ship,5,4,185,4,medium,M,31,3565,1,2017-06-17
1589,1590,F,Ship,4,2,199,2,medium,F,4,3351,1,2017-11-09
1590,1591,D,Ship,4,1,272,3,medium,M,49,2803,1,2017-07-08
1591,1592,F,Ship,5,3,252,2,low,M,11,3036,1,2017-04-29
1592,1593,A,Ship,4,5,156,3,low,F,2,1127,1,2017-10-09
1593,1594,B,Ship,4,2,173,3,medium,F,63,1220,1,2017-03-07
1594,1595,C,Ship,3,2,148,4,medium,F,38,1322,1,2017-04-27
1595,1596,F,Ship,4,3,158,3,medium,F,27,1207,1,2017-04-18
1596,1597,D,Ship,5,2,261,3,low,M,62,3352,1,2017-04-14
1597,1598,F,Ship,2,4,105,2,medium,M,54,1707,1,2017-05-27
1598,1599,A,Ship,3,5,193,3,high,F,57,3364,1,2017-12-09
1599,1600,B,Ship,3,3,198,3,low,M,49,2446,1,2017-05-10
1600,1601,C,Ship,4,5,213,3,medium,F,42,3121,1,2017-06-12
1601,1602,F,Ship,4,1,244,3,low,M,59,3073,1,2017-05-26
1602,1603,D,Ship,6,4,241,6,high,F,61,2806,1,2017-09-25
1603,1604,F,Ship,4,5,278,6,low,M,4,3909,1,2017-02-23
1604,1605,A,Ship,2,2,145,2,low,M,1,1126,1,2017-11-12
1605,1606,B,Ship,5,2,140,4,high,M,58,1175,1,2017-07-30
1606,1607,C,Ship,4,4,209,3,medium,M,37,3026,1,2017-01-12
1607,1608,F,Ship,3,3,233,3,medium,M,35,2204,1,2017-12-06
1608,1609,D,Ship,3,1,227,3,medium,M,52,3336,1,2017-01-01
1609,1610,F,Ship,5,1,258,2,medium,F,22,3713,1,2017-08-10
1610,1611,A,Ship,5,4,259,3,low,F,38,3720,1,2017-12-08
1611,1612,B,Ship,3,5,153,2,low,F,44,1585,1,2017-04-02
1612,1613,C,Ship,3,5,181,3,medium,M,22,3575,1,2017-09-12
1613,1614,F,Ship,4,4,143,8,medium,F,39,1345,1,2017-03-26
1614,1615,D,Ship,5,2,111,5,medium,M,3,1711,1,2017-08-16
1615,1616,F,Ship,4,5,198,2,medium,M,51,2820,1,2017-05-14
1616,1617,A,Ship,3,4,121,3,low,F,63,1611,1,2017-05-20
1617,1618,B,Road,3,2,204,3,medium,M,48,2792,1,2017-03-11
1618,1619,C,Road,4,4,203,5,low,M,36,3912,1,2017-09-23
1619,1620,F,Road,4,1,167,3,low,F,10,1616,1,2017-06-24
1620,1621,D,Road,4,1,270,3,medium,F,64,2406,1,2017-11-27
1621,1622,F,Road,5,2,260,2,high,M,58,2018,1,2017-08-10
1622,1623,A,Road,3,1,180,3,high,F,21,1047,1,2017-06-10
1623,1624,B,Road,3,4,157,2,medium,M,12,1694,1,2017-02-12
1624,1625,C,Road,3,3,156,6,low,M,45,1602,1,2017-11-16
1625,1626,F,Road,4,4,236,7,medium,M,62,2280,1,2017-06-01
1626,1627,D,Road,5,2,240,7,medium,F,57,2708,1,2017-03-05
1627,1628,F,Road,4,2,104,7,medium,F,46,1438,1,2017-03-05
1628,1629,A,Road,4,2,140,3,medium,F,49,1820,1,2017-06-09
1629,1630,B,Road,3,2,150,3,medium,M,29,1354,1,2017-10-02
1630,1631,C,Road,6,2,286,7,medium,F,65,3362,1,2017-06-18
1631,1632,F,Road,5,5,224,8,low,F,49,3282,1,2017-09-19
1632,1633,D,Road,3,4,204,3,low,F,49,3225,1,2017-04-23
1633,1634,F,Road,5,2,266,7,low,F,12,2056,1,2017-04-15
1634,1635,A,Road,6,3,241,6,high,F,8,3878,1,2017-12-05
1635,1636,B,Road,4,2,278,6,low,F,36,2330,1,2017-06-18
1636,1637,C,Road,2,1,145,2,low,F,49,1177,1,2017-06-03
1637,1638,F,Road,5,4,140,4,high,F,5,1130,1,2017-07-16
1638,1639,D,Road,4,4,209,3,medium,F,52,2740,1,2017-03-24
1639,1640,F,Flight,3,1,233,3,medium,M,1,2744,1,2017-08-03
1640,1641,A,Flight,3,2,227,3,medium,M,21,2351,1,2017-02-16
1641,1642,B,Flight,5,4,258,2,medium,F,24,2878,1,2017-01-14
1642,1643,C,Flight,5,3,259,3,low,F,45,3335,1,2017-01-22
1643,1644,F,Flight,3,3,153,2,low,F,39,1328,1,2017-03-22
1644,1645,D,Flight,3,2,181,3,medium,M,45,3786,1,2017-09-04
1645,1646,F,Flight,4,4,143,8,medium,M,12,1326,1,2017-04-05
1646,1647,A,Flight,5,4,111,5,medium,F,42,1587,1,2017-04-23
1647,1648,B,Flight,4,4,198,2,medium,M,64,3787,1,2017-11-02
1648,1649,C,Flight,3,5,121,3,low,F,10,1701,1,2017-02-21
1649,1650,F,Flight,3,4,204,3,medium,F,27,2772,1,2017-05-23
1650,1651,D,Flight,4,2,203,5,low,F,20,3098,1,2017-06-08
1651,1652,F,Flight,4,1,167,3,low,F,57,1782,1,2017-01-11
1652,1653,A,Flight,4,5,270,3,medium,M,20,3185,1,2017-09-18
1653,1654,B,Flight,5,3,260,2,high,F,63,2715,1,2017-07-02
1654,1655,C,Flight,3,3,180,3,high,F,56,1684,1,2017-11-12
1655,1656,F,Flight,3,3,157,2,medium,F,62,1366,1,2017-04-09
1656,1657,D,Flight,3,5,156,6,low,M,65,1308,1,2017-10-25
1657,1658,F,Flight,4,5,236,7,medium,F,44,3808,1,2017-02-05
1658,1659,A,Flight,5,2,240,7,medium,F,47,2174,1,2017-04-25
1659,1660,B,Flight,4,1,104,7,medium,F,52,1083,1,2017-07-04
1660,1661,C,Flight,4,4,140,3,medium,F,4,1467,1,2017-05-22
1661,1662,F,Ship,3,2,150,3,medium,F,4,1910,1,2017-09-08
1662,1663,D,Ship,6,1,286,7,medium,F,7,2338,1,2017-09-25
1663,1664,F,Ship,5,5,224,8,low,F,48,2627,1,2017-11-19
1664,1665,A,Ship,3,5,204,3,low,F,45,2513,1,2017-05-30
1665,1666,B,Ship,5,2,266,7,low,M,40,2304,1,2017-03-23
1666,1667,C,Ship,4,5,268,3,low,F,59,2083,1,2017-05-03
1667,1668,F,Ship,4,5,267,4,low,M,20,3132,1,2017-04-05
1668,1669,D,Ship,3,5,223,4,low,F,46,3938,1,2017-07-09
1669,1670,F,Ship,5,5,164,5,low,M,52,1644,1,2017-03-27
1670,1671,A,Ship,4,2,209,4,low,F,10,3370,1,2017-09-01
1671,1672,B,Ship,3,2,192,3,low,F,19,3183,1,2017-03-02
1672,1673,C,Ship,3,2,260,3,medium,M,52,2874,1,2017-08-16
1673,1674,F,Ship,2,1,137,5,medium,F,3,1037,1,2017-09-01
1674,1675,D,Ship,3,3,267,2,low,M,18,2435,1,2017-12-21
1675,1676,F,Ship,3,3,111,3,medium,M,54,1712,1,2017-12-14
1676,1677,A,Ship,3,4,240,2,medium,F,2,3729,1,2017-07-22
1677,1678,B,Ship,5,1,234,3,medium,M,40,3340,1,2017-05-17
1678,1679,C,Ship,4,2,190,2,medium,M,37,2563,1,2017-07-23
1679,1680,F,Ship,5,2,265,2,high,M,24,2415,1,2017-07-29
1680,1681,D,Ship,3,4,189,3,medium,F,37,3492,1,2017-06-05
1681,1682,F,Ship,2,1,121,3,medium,M,25,1124,1,2017-06-14
1682,1683,A,Ship,4,3,101,6,low,M,37,1344,1,2017-04-03
1683,1684,B,Ship,3,3,250,3,medium,M,9,2752,1,2017-03-26
1684,1685,C,Ship,4,2,247,3,medium,F,64,2198,1,2017-10-27
1685,1686,F,Ship,4,4,162,3,medium,M,41,1104,1,2017-08-16
1686,1687,D,Ship,2,2,219,3,low,F,56,3608,1,2017-09-22
1687,1688,F,Ship,5,1,258,2,medium,F,48,3717,1,2017-07-03
1688,1689,A,Ship,5,4,221,2,low,F,59,3444,1,2017-05-26
1689,1690,B,Ship,2,4,137,3,high,F,41,1176,1,2017-04-21
1690,1691,C,Ship,3,4,174,2,medium,M,51,1430,1,2017-03-02
1691,1692,F,Ship,4,2,189,3,medium,M,6,3671,1,2017-06-10
1692,1693,D,Ship,4,4,212,4,medium,F,2,3830,1,2017-12-21
1693,1694,F,Ship,6,1,183,2,low,M,57,3966,1,2017-12-06
1694,1695,A,Ship,3,1,180,2,low,M,26,1715,1,2017-06-05
1695,1696,B,Ship,5,5,150,5,medium,F,61,1091,1,2017-02-20
1696,1697,C,Ship,4,3,246,3,medium,F,52,2440,1,2017-12-03
1697,1698,F,Ship,3,2,263,3,high,F,44,3802,1,2017-08-08
1698,1699,D,Ship,4,4,204,2,low,M,29,2941,1,2017-10-10
1699,1700,F,Ship,3,2,223,4,low,F,20,3955,1,2017-02-07
1700,1701,A,Ship,3,3,193,2,low,F,60,2581,1,2017-07-04
1701,1702,B,Ship,3,1,138,3,low,F,41,1914,1,2017-06-18
1702,1703,C,Ship,5,2,188,3,medium,F,50,3992,1,2017-06-16
1703,1704,F,Ship,4,3,201,3,low,F,46,3641,1,2017-05-28
1704,1705,D,Ship,3,3,245,2,medium,F,16,2577,1,2017-10-28
1705,1706,F,Ship,3,2,262,3,low,M,54,3150,1,2017-05-29
1706,1707,A,Ship,4,4,147,5,medium,F,33,1886,1,2017-03-05
1707,1708,B,Ship,3,1,254,3,medium,F,35,2965,1,2017-05-30
1708,1709,C,Ship,4,2,213,4,low,F,37,2184,1,2017-11-18
1709,1710,F,Ship,3,3,152,2,low,M,32,1665,1,2017-08-09
1710,1711,D,Ship,4,1,227,3,low,M,54,3972,1,2017-05-27
1711,1712,F,Ship,2,5,206,3,low,F,46,2944,1,2017-03-10
1712,1713,A,Ship,3,4,242,5,low,M,5,2307,1,2017-05-06
1713,1714,B,Ship,4,2,200,3,medium,M,45,2486,1,2017-12-01
1714,1715,C,Ship,4,1,142,2,low,M,26,1683,1,2017-03-01
1715,1716,F,Ship,3,3,275,3,low,F,61,2123,1,2017-07-04
1716,1717,D,Ship,6,1,222,5,medium,M,26,3137,1,2017-10-28
1717,1718,F,Ship,3,1,101,2,medium,F,56,1184,1,2017-10-23
1718,1719,A,Ship,4,5,178,3,high,M,22,1907,1,2017-09-12
1719,1720,B,Ship,3,2,243,3,medium,M,31,3943,1,2017-08-27
1720,1721,C,Ship,2,1,177,4,low,M,63,1058,1,2017-03-03
1721,1722,F,Ship,3,2,270,3,medium,M,31,2377,1,2017-10-16
1722,1723,D,Ship,5,3,186,4,medium,F,11,3676,1,2017-11-20
1723,1724,F,Ship,5,3,133,4,medium,F,29,1094,1,2017-11-06
1724,1725,A,Ship,3,2,263,4,medium,M,8,2599,1,2017-07-10
1725,1726,B,Ship,5,3,248,3,medium,M,4,2207,1,2017-11-28
1726,1727,C,Ship,5,2,150,3,medium,M,63,1807,1,2017-05-17
1727,1728,F,Ship,3,4,203,4,medium,M,46,3640,1,2017-10-18
1728,1729,D,Ship,2,3,249,2,low,M,1,2905,1,2017-02-03
1729,1730,F,Ship,3,3,238,3,medium,M,54,2860,1,2017-08-09
1730,1731,A,Ship,5,3,181,4,medium,F,32,3893,1,2017-01-26
1731,1732,B,Ship,3,3,138,4,low,M,56,1440,1,2017-03-09
1732,1733,C,Ship,4,3,139,3,medium,F,47,1323,1,2017-01-02
1733,1734,F,Ship,2,3,192,2,low,F,31,2621,1,2017-08-28
1734,1735,D,Ship,5,4,241,3,medium,M,40,3484,1,2017-12-12
1735,1736,F,Ship,3,2,188,3,low,F,33,3335,1,2017-10-11
1736,1737,A,Ship,6,1,278,2,medium,F,12,2112,1,2017-05-02
1737,1738,B,Ship,4,1,144,2,high,M,35,1072,1,2017-09-10
1738,1739,C,Ship,4,5,208,2,medium,M,33,2170,1,2017-11-30
1739,1740,F,Ship,3,2,208,2,low,M,41,2036,1,2017-09-24
1740,1741,D,Ship,4,3,210,3,medium,M,11,2655,1,2017-05-25
1741,1742,F,Ship,3,3,237,3,medium,M,47,3625,1,2017-03-21
1742,1743,A,Ship,4,4,192,3,low,F,25,2443,1,2017-11-29
1743,1744,B,Ship,6,2,143,5,low,M,17,1955,1,2017-08-14
1744,1745,C,Ship,3,1,234,3,high,F,60,2596,1,2017-05-09
1745,1746,F,Ship,4,5,147,2,low,M,17,1057,1,2017-06-08
1746,1747,D,Ship,5,1,226,2,low,M,18,2582,1,2017-09-17
1747,1748,F,Ship,4,5,263,2,low,M,62,2267,1,2017-07-12
1748,1749,A,Ship,4,1,147,3,low,M,11,1434,1,2017-10-22
1749,1750,B,Ship,3,1,174,4,low,M,18,1072,1,2017-05-03
1750,1751,C,Ship,3,1,142,4,low,M,4,1583,1,2017-03-09
1751,1752,F,Ship,4,4,136,3,low,M,6,1900,1,2017-06-08
1752,1753,D,Ship,3,1,192,3,medium,M,35,2258,1,2017-10-05
1753,1754,F,Ship,3,2,184,5,high,F,26,3336,1,2017-01-27
1754,1755,A,Road,6,5,260,4,high,M,10,2756,1,2017-12-18
1755,1756,B,Road,5,3,160,3,high,M,25,1977,1,2017-01-11
1756,1757,C,Road,3,1,262,2,low,F,28,2940,1,2017-11-22
1757,1758,F,Road,4,3,217,3,low,M,51,3144,1,2017-02-06
1758,1759,D,Road,3,2,267,5,low,F,48,2622,1,2017-05-18
1759,1760,F,Road,5,4,195,2,low,M,4,3108,1,2017-08-27
1760,1761,A,Road,4,3,152,2,medium,M,18,1537,1,2017-08-20
1761,1762,B,Road,4,5,178,3,low,F,23,1695,1,2017-02-25
1762,1763,C,Road,4,2,190,4,medium,M,61,2077,1,2017-04-20
1763,1764,F,Road,3,5,286,3,medium,F,12,3817,1,2017-03-11
1764,1765,D,Road,2,1,167,2,low,M,46,1023,1,2017-09-24
1765,1766,F,Road,2,2,148,6,medium,F,63,1279,1,2017-09-02
1766,1767,A,Road,4,3,218,4,low,F,50,3990,1,2017-09-17
1767,1768,B,Road,5,2,272,2,medium,F,37,2226,1,2017-02-09
1768,1769,C,Road,4,3,147,2,high,F,52,1570,1,2017-02-07
1769,1770,F,Road,4,5,263,3,medium,F,32,3723,1,2017-05-25
1770,1771,D,Road,5,5,189,4,high,F,16,3564,1,2017-10-09
1771,1772,F,Road,3,3,242,3,low,F,7,3127,1,2017-08-24
1772,1773,A,Road,5,3,204,2,low,M,40,2181,1,2017-10-30
1773,1774,B,Road,3,1,229,3,medium,M,2,3963,1,2017-05-09
1774,1775,C,Road,3,5,180,2,low,M,33,1444,1,2017-02-25
1775,1776,F,Road,5,5,190,4,medium,M,12,2947,1,2017-11-08
1776,1777,D,Flight,6,1,154,5,medium,M,19,1842,1,2017-06-30
1777,1778,F,Flight,4,3,134,3,low,F,21,1955,1,2017-07-26
1778,1779,A,Flight,3,3,206,2,medium,M,62,3558,1,2017-08-14
1779,1780,B,Flight,3,2,169,2,medium,M,61,1511,1,2017-08-27
1780,1781,C,Flight,4,2,237,2,medium,F,6,2965,1,2017-11-06
1781,1782,F,Flight,4,4,146,2,low,M,52,1459,1,2017-09-10
1782,1783,D,Flight,5,2,187,3,medium,M,11,2936,1,2017-01-01
1783,1784,F,Flight,5,4,206,3,low,M,53,2182,1,2017-05-23
1784,1785,A,Flight,5,3,208,4,medium,M,10,2419,1,2017-09-12
1785,1786,B,Flight,4,2,149,4,low,M,40,1102,1,2017-11-13
1786,1787,C,Flight,6,2,148,4,low,M,56,1511,1,2017-11-19
1787,1788,F,Flight,4,2,135,2,low,M,54,1011,1,2017-04-10
1788,1789,D,Flight,4,1,242,3,medium,F,35,3556,1,2017-12-18
1789,1790,F,Flight,5,2,231,4,medium,M,41,2992,1,2017-10-23
1790,1791,A,Flight,6,2,205,5,medium,F,61,2018,1,2017-03-13
1791,1792,B,Flight,4,4,137,2,medium,M,37,1447,1,2017-09-21
1792,1793,C,Flight,3,4,202,4,high,M,20,3655,1,2017-05-25
1793,1794,F,Flight,3,1,163,3,medium,M,59,1005,1,2017-07-09
1794,1795,D,Flight,2,2,128,2,low,M,17,1824,1,2017-03-11
1795,1796,F,Flight,3,3,165,3,high,M,35,1459,1,2017-06-28
1796,1797,A,Flight,4,1,242,2,low,M,34,3966,1,2017-02-28
1797,1798,B,Flight,5,4,229,2,medium,M,9,3667,1,2017-04-26
1798,1799,C,Ship,5,1,191,3,low,M,56,3538,1,2017-03-19
1799,1800,F,Ship,3,5,231,2,medium,M,49,2341,1,2017-08-18
1800,1801,D,Ship,3,1,183,3,medium,F,51,3863,1,2017-01-12
1801,1802,F,Ship,3,1,195,3,high,M,5,3251,1,2017-03-21
1802,1803,A,Ship,3,5,249,2,low,F,26,2029,1,2017-08-12
1803,1804,B,Ship,3,4,151,3,low,M,16,1020,1,2017-04-21
1804,1805,C,Ship,4,1,140,2,low,M,60,1950,1,2017-09-20
1805,1806,F,Ship,4,1,151,2,medium,M,6,1114,1,2017-04-17
1806,1807,D,Ship,2,5,109,3,medium,M,12,1715,1,2017-07-17
1807,1808,F,Ship,5,1,180,2,low,M,35,1204,1,2017-09-08
1808,1809,A,Ship,4,1,151,5,high,M,28,1148,1,2017-08-02
1809,1810,B,Ship,2,1,188,3,low,M,62,2106,1,2017-06-22
1810,1811,C,Ship,4,2,274,2,low,M,11,3013,1,2017-07-18
1811,1812,F,Ship,3,5,187,2,medium,F,50,2598,1,2017-11-25
1812,1813,D,Ship,4,2,185,2,medium,M,4,2212,1,2017-12-05
1813,1814,F,Ship,3,4,187,2,medium,M,54,3290,1,2017-09-21
1814,1815,A,Ship,5,4,260,3,low,M,43,2143,1,2017-12-05
1815,1816,B,Ship,3,3,191,3,low,M,5,2007,1,2017-03-15
1816,1817,C,Ship,3,4,203,2,low,F,15,2281,1,2017-10-30
1817,1818,F,Ship,4,1,144,4,low,F,63,1881,1,2017-08-01
1818,1819,D,Ship,5,2,281,4,high,F,5,3357,1,2017-12-20
1819,1820,F,Ship,2,3,169,3,medium,M,48,1279,1,2017-04-30
1820,1821,A,Ship,4,3,201,2,medium,F,18,3461,1,2017-03-30
1821,1822,B,Ship,4,4,226,5,medium,F,12,2708,1,2017-07-24
1822,1823,C,Ship,6,3,176,5,low,F,7,1767,1,2017-09-07
1823,1824,F,Ship,3,5,228,4,medium,M,57,2243,1,2017-10-29
1824,1825,D,Ship,4,5,260,3,low,F,14,2071,1,2017-06-14
1825,1826,F,Ship,4,5,268,3,low,M,17,3085,1,2017-10-21
1826,1827,A,Ship,4,5,188,3,low,F,6,3361,1,2017-02-13
1827,1828,B,Ship,4,4,213,3,medium,M,11,2037,1,2017-07-06
1828,1829,C,Ship,4,4,259,2,medium,M,44,2132,1,2017-04-29
1829,1830,F,Ship,3,2,257,2,high,F,46,2848,1,2017-09-15
1830,1831,D,Ship,4,5,163,3,low,M,38,1146,1,2017-12-06
1831,1832,F,Ship,2,3,211,3,medium,F,12,3296,1,2017-06-07
1832,1833,A,Ship,3,4,166,2,medium,F,58,1319,1,2017-02-18
1833,1834,B,Ship,3,5,245,4,high,F,26,2072,1,2017-07-03
1834,1835,C,Ship,5,5,234,2,medium,M,44,2548,1,2017-02-15
1835,1836,F,Ship,4,2,234,2,high,M,27,3393,1,2017-01-09
1836,1837,D,Ship,3,1,180,3,low,M,52,1838,1,2017-10-18
1837,1838,F,Ship,4,5,217,4,medium,M,37,2128,1,2017-01-30
1838,1839,A,Ship,4,1,253,3,low,M,31,3632,1,2017-09-14
1839,1840,B,Ship,3,2,188,3,medium,M,3,3837,1,2017-07-27
1840,1841,C,Ship,2,3,274,3,high,F,24,3829,1,2017-10-03
1841,1842,F,Ship,3,4,136,2,medium,F,54,1056,1,2017-09-18
1842,1843,D,Ship,3,5,143,2,low,M,17,1422,1,2017-11-24
1843,1844,F,Ship,3,1,267,3,low,F,57,3257,1,2017-10-24
1844,1845,A,Ship,3,4,198,2,medium,F,20,2266,1,2017-12-12
1845,1846,B,Ship,4,4,201,10,medium,M,17,2059,1,2017-10-16
1846,1847,C,Ship,3,5,241,10,medium,F,31,2724,1,2017-03-12
1847,1848,F,Ship,5,1,269,3,medium,F,2,2136,1,2017-12-19
1848,1849,D,Ship,5,5,123,2,low,F,60,1653,1,2017-09-21
1849,1850,F,Ship,3,2,178,2,low,M,32,1329,1,2017-09-02
1850,1851,A,Ship,3,4,203,3,low,M,18,3127,1,2017-02-08
1851,1852,B,Ship,3,1,169,10,medium,F,15,1107,1,2017-07-29
1852,1853,C,Ship,3,5,190,10,medium,F,27,2739,1,2017-06-07
1853,1854,F,Ship,3,3,190,7,medium,F,7,2400,1,2017-08-19
1854,1855,D,Ship,4,5,238,10,medium,M,38,3556,1,2017-01-04
1855,1856,F,Ship,5,5,247,10,medium,F,61,2206,1,2017-06-28
1856,1857,A,Ship,4,1,190,10,low,F,35,3819,1,2017-04-02
1857,1858,B,Ship,3,5,168,3,low,F,5,1143,1,2017-06-27
1858,1859,C,Ship,2,2,190,3,low,M,51,2380,1,2017-02-12
1859,1860,F,Ship,2,5,170,8,low,M,14,1396,1,2017-03-12
1860,1861,D,Ship,4,4,226,7,low,M,9,2182,1,2017-01-09
1861,1862,F,Ship,5,1,256,7,low,F,50,3837,1,2017-06-09
1862,1863,A,Ship,2,1,104,7,low,M,30,1870,1,2017-01-26
1863,1864,B,Ship,4,1,192,3,medium,F,29,3347,1,2017-08-14
1864,1865,C,Ship,4,3,213,3,medium,M,57,3599,1,2017-11-23
1865,1866,F,Ship,4,2,259,2,medium,M,54,2244,1,2017-09-19
1866,1867,D,Ship,3,4,257,2,high,M,15,3981,1,2017-04-27
1867,1868,F,Ship,4,3,163,3,low,M,52,1891,1,2017-04-12
1868,1869,A,Ship,2,3,211,3,medium,F,55,3842,1,2017-04-05
1869,1870,B,Ship,3,2,166,2,medium,F,45,1741,1,2017-01-25
1870,1871,C,Ship,3,1,245,4,high,F,47,3111,1,2017-06-24
1871,1872,F,Ship,5,5,234,2,medium,F,43,3822,1,2017-01-21
1872,1873,D,Ship,4,4,234,2,high,M,2,2008,1,2017-01-23
1873,1874,F,Ship,3,4,180,3,low,F,52,1727,1,2017-05-09
1874,1875,A,Ship,4,5,217,4,medium,F,12,2217,1,2017-01-23
1875,1876,B,Ship,4,5,253,3,low,F,58,3096,1,2017-06-05
1876,1877,C,Ship,3,4,188,3,medium,F,49,3221,1,2017-08-18
1877,1878,F,Ship,2,2,274,3,high,F,60,2053,1,2017-10-09
1878,1879,D,Ship,3,1,136,2,medium,F,61,1509,1,2017-04-23
1879,1880,F,Ship,3,1,143,2,low,F,63,1246,1,2017-03-06
1880,1881,A,Ship,3,4,267,3,low,F,55,2923,1,2017-02-15
1881,1882,B,Ship,3,1,198,2,medium,F,49,3573,1,2017-02-08
1882,1883,C,Ship,4,1,201,10,medium,M,37,3402,1,2017-07-05
1883,1884,F,Ship,3,5,241,10,medium,M,41,3015,1,2017-02-22
1884,1885,D,Ship,5,4,269,3,medium,F,51,3415,1,2017-11-05
1885,1886,F,Ship,5,3,123,2,low,F,30,1068,1,2017-10-16
1886,1887,A,Ship,3,4,178,2,low,F,35,1183,1,2017-07-27
1887,1888,B,Ship,3,5,203,3,low,F,58,3231,1,2017-06-11
1888,1889,C,Ship,3,2,169,10,medium,F,4,1665,1,2017-02-23
1889,1890,F,Ship,3,4,190,10,medium,F,38,2018,1,2017-05-21
1890,1891,D,Ship,3,4,190,7,medium,F,51,2391,1,2017-12-03
1891,1892,F,Road,4,5,238,10,medium,F,44,3860,1,2017-04-29
1892,1893,A,Road,5,1,247,10,medium,F,57,2377,1,2017-04-07
1893,1894,B,Road,4,3,190,10,low,M,34,3935,1,2017-02-03
1894,1895,C,Road,3,2,168,3,low,M,15,1862,1,2017-11-04
1895,1896,F,Road,2,1,190,3,low,M,59,2108,1,2017-07-03
1896,1897,D,Road,2,3,170,8,low,M,61,1240,1,2017-02-24
1897,1898,F,Road,4,1,226,7,low,M,41,2964,1,2017-04-16
1898,1899,A,Road,5,2,256,7,low,F,41,2758,1,2017-09-26
1899,1900,B,Road,2,5,104,7,low,M,12,1064,1,2017-12-08
1900,1901,C,Road,4,4,192,3,medium,M,39,2943,1,2017-09-24
1901,1902,F,Road,5,2,195,6,low,M,38,1338,1,2017-03-23
1902,1903,D,Road,3,5,271,4,low,M,51,1134,1,2017-03-20
1903,1904,F,Road,2,1,296,5,medium,M,29,1648,1,2017-09-12
1904,1905,A,Road,4,5,277,5,medium,F,32,1055,1,2017-12-07
1905,1906,B,Road,2,4,140,3,low,M,32,1819,1,2017-01-30
1906,1907,C,Road,4,1,148,3,high,F,23,1814,1,2017-09-26
1907,1908,F,Road,4,5,238,2,low,F,1,2644,1,2017-03-05
1908,1909,D,Road,5,3,220,3,low,M,37,2294,1,2017-05-16
1909,1910,F,Road,4,4,224,3,low,M,29,3623,1,2017-03-12
1910,1911,A,Road,4,5,162,3,low,F,31,1170,1,2017-12-05
1911,1912,B,Road,4,2,202,4,low,F,1,3602,1,2017-11-16
1912,1913,C,Road,3,5,226,3,medium,M,5,3914,1,2017-03-06
1913,1914,F,Flight,4,3,246,2,low,M,60,2086,1,2017-08-23
1914,1915,D,Flight,5,2,223,3,low,F,51,3687,1,2017-11-22
1915,1916,F,Flight,5,2,156,2,medium,M,19,1311,1,2017-04-27
1916,1917,A,Flight,2,5,189,2,low,M,38,3708,1,2017-12-11
1917,1918,B,Flight,5,4,242,3,high,F,2,3564,1,2017-09-28
1918,1919,C,Flight,4,5,207,2,medium,F,49,3736,1,2017-07-07
1919,1920,F,Flight,3,3,161,3,low,F,24,1920,1,2017-08-23
1920,1921,D,Flight,4,5,232,2,low,F,21,3128,1,2017-02-03
1921,1922,F,Flight,6,4,194,3,low,M,10,2554,1,2017-10-08
1922,1923,A,Flight,5,5,161,3,medium,F,59,1037,1,2017-01-04
1923,1924,B,Flight,4,1,269,3,medium,F,23,3652,1,2017-10-25
1924,1925,C,Flight,3,3,219,2,low,F,41,3932,1,2017-07-01
1925,1926,F,Flight,5,2,161,2,medium,F,59,1859,1,2017-04-07
1926,1927,D,Flight,3,1,264,4,low,M,33,3561,1,2017-12-14
1927,1928,F,Flight,5,2,151,3,medium,M,20,1395,1,2017-12-14
1928,1929,A,Flight,5,5,177,2,high,F,31,2000,1,2017-03-24
1929,1930,B,Flight,2,5,193,5,medium,F,13,2882,1,2017-04-29
1930,1931,C,Flight,4,4,212,4,medium,M,16,2494,1,2017-06-14
1931,1932,F,Flight,4,1,210,2,medium,F,7,3405,1,2017-09-20
